"종목코드","종목명","종가","대비","등락률","EPS","PER","선행 EPS","선행 PER","BPS","PBR","주당배당금","배당수익률"
"001790","대한제당",3510,125,3.69,276,12.72,NA,NA,5992,0.59,120,3.42
"001795","대한제당우",2985,15,0.51,NA,NA,NA,NA,NA,NA,125,4.19
"001130","대한제분",129400,-400,-0.31,24697,5.24,NA,NA,558185,0.23,2500,1.93
"003490","대한항공",22600,50,0.22,4787,4.72,2993,7.55,24426,0.93,750,3.32
"003495","대한항공우",25600,-150,-0.58,NA,NA,NA,NA,NA,NA,800,3.13
"005880","대한해운",1821,6,0.33,507,3.59,436,4.18,4912,0.37,0,0
"003830","대한화섬",100700,-400,-0.4,29768,3.38,NA,NA,635611,0.16,750,0.74
"016090","대현",2070,10,0.49,574,3.61,NA,NA,5480,0.38,110,5.31
"069460","대호에이엘",2200,0,0,114,19.3,NA,NA,1456,1.51,0,0
"021040","대호특수강",4765,-95,-1.95,NA,NA,NA,NA,6340,0.75,0,0
"021045","대호특수강우",8270,-70,-0.84,NA,NA,NA,NA,NA,NA,0,0
"067080","대화제약",14300,510,3.7,64,223.44,NA,NA,4452,3.21,150,1.05
"298540","더네이쳐홀딩스",25750,150,0.59,4717,5.46,5846,4.4,19725,1.31,400,1.55
"032860","더라미",3640,0,0,NA,NA,NA,NA,1411,2.58,0,0
"192080","더블유게임즈",41450,-50,-0.12,NA,NA,7682,5.4,43874,0.94,600,1.45
"393890","더블유씨피",56600,-600,-1.05,1940,29.18,2103,26.92,27737,2.04,0,0
"299170","더블유에스아이",1933,-77,-3.83,145,13.33,NA,NA,1259,1.54,0,0
"012510","더존비즈온",31050,-150,-0.48,676,45.93,1242,25,15301,2.03,123,0.4
"224060","더코디",7980,280,3.64,NA,NA,NA,NA,14734,0.54,0,0
"213420","덕산네오룩스",44000,-1100,-2.44,1574,27.95,1861,23.65,12991,3.39,0,0
"317330","덕산테코피아",14030,-240,-1.68,885,15.85,NA,NA,10385,1.35,0,0
"077360","덕산하이메탈",7230,-60,-0.82,134,53.96,NA,NA,6480,1.12,0,0
"004830","덕성",6970,-240,-3.33,157,44.39,NA,NA,5862,1.19,45,0.65
"004835","덕성우",6340,-80,-1.25,NA,NA,NA,NA,NA,NA,50,0.79
"090410","덕신하우징",2310,130,5.96,220,10.5,NA,NA,1972,1.17,20,0.87
"024900","덕양산업",5470,60,1.11,487,11.23,NA,NA,2608,2.1,0,0
"263600","덕우전자",8780,-360,-3.94,840,10.45,NA,NA,6918,1.27,70,0.8
"194480","데브시스터즈",46150,-1550,-3.25,NA,NA,4364,10.57,16951,2.72,0,0
"263800","데이타솔루션",5600,-350,-5.88,148,37.84,NA,NA,1934,2.9,0,0
"206560","덱스터",8100,-240,-2.88,NA,NA,NA,NA,2122,3.82,0,0
"261200","덴티스",9410,-180,-1.88,86,109.42,NA,NA,2073,4.54,0,0
"145720","덴티움",112200,-1900,-1.67,9980,11.24,11045,10.16,43354,2.59,300,0.27
"067990","도이치모터스",5160,-60,-1.15,1213,4.25,NA,NA,11515,0.45,360,6.98
"002150","도화엔지니어링",9110,510,5.93,47,193.83,NA,NA,7986,1.14,280,3.07
"006620","동구바이오제약",5540,-110,-1.95,238,23.28,NA,NA,3696,1.5,110,1.99
"100130","동국S&C",3135,-45,-1.42,NA,NA,NA,NA,4637,0.68,0,0
"005160","동국산업",5230,-130,-2.43,125,41.84,NA,NA,7762,0.67,130,2.49
"460850","동국씨엠",8300,200,2.47,NA,NA,NA,NA,NA,NA,0,0
"075970","동국알앤에스",3735,-70,-1.84,214,17.45,NA,NA,4331,0.86,80,2.14
"460860","동국제강",11920,570,5.02,NA,NA,11836,1.01,NA,NA,0,0
"086450","동국제약",15040,-110,-0.73,1203,12.5,1362,11.04,11419,1.32,180,1.2
"001230","동국홀딩스",11610,390,3.48,4474,2.59,NA,NA,34362,0.34,500,4.31
"023450","동남합성",34100,-50,-0.15,2983,11.43,NA,NA,14281,2.39,875,2.57
"004140","동방",2065,-50,-2.36,17,121.47,NA,NA,2685,0.77,0,0
"099410","동방선기",2450,0,0,95,25.79,NA,NA,2237,1.1,0,0
"007590","동방아그로",6370,-30,-0.47,546,11.67,NA,NA,12112,0.53,250,3.92
"005960","동부건설",6370,10,0.16,1737,3.67,NA,NA,25542,0.25,500,7.85
"005965","동부건설우",26400,250,0.96,NA,NA,NA,NA,NA,NA,550,2.08
"026960","동서",17290,-100,-0.58,1701,10.16,NA,NA,15510,1.11,730,4.22
"002210","동성제약",6050,-100,-1.63,NA,NA,NA,NA,1872,3.23,0,0
"102260","동성케미컬",4600,-50,-1.08,714,6.44,NA,NA,7735,0.59,200,4.35
"033500","동성화인텍",13080,210,1.63,295,44.34,1056,12.39,5159,2.54,350,2.68
"025950","동신건설",18270,-190,-1.03,722,25.3,NA,NA,10664,1.71,150,0.82
"000640","동아쏘시오홀딩스",99200,200,0.2,1784,55.61,NA,NA,157100,0.63,1500,1.51
"170900","동아에스티",66900,-1100,-1.62,1576,42.45,2800,23.89,78380,0.85,700,1.05
"088130","동아엘텍",6540,-60,-0.91,151,43.31,471,13.88,17660,0.37,200,3.06
"028100","동아지질",12520,-120,-0.95,NA,NA,NA,NA,15999,0.78,500,3.99
"282690","동아타이어",11380,60,0.53,1747,6.51,NA,NA,27514,0.41,1000,8.79
"041930","동아화성",8100,-130,-1.58,1017,7.96,NA,NA,9336,0.87,120,1.48
"001520","동양",1034,-5,-0.48,NA,NA,NA,NA,4062,0.25,40,3.87
"001527","동양2우B",10500,-260,-2.42,NA,NA,NA,NA,NA,NA,150,1.43
"084670","동양고속",13220,-80,-0.6,NA,NA,NA,NA,28704,0.46,0,0
"082640","동양생명",4880,70,1.46,475,10.27,1787,2.73,12252,0.4,0,0
"060380","동양에스텍",2145,30,1.42,257,8.35,NA,NA,3966,0.54,50,2.33
"001525","동양우",5470,-10,-0.18,NA,NA,NA,NA,NA,NA,90,1.65
