"종목코드","종목명","종가","대비","등락률","EPS","PER","선행 EPS","선행 PER","BPS","PBR","주당배당금","배당수익률"
"000020","동화약품",10130,-50,-0.49,736,13.76,NA,NA,13165,0.77,180,1.78
"000150","두산",118600,-12500,-9.53,NA,NA,14391,8.24,132422,0.9,2000,1.69
"000157","두산2우B",100500,-15100,-13.06,NA,NA,NA,NA,NA,NA,2000,1.99
"241560","두산밥캣",55700,500,0.91,6421,8.67,9017,6.18,50136,1.11,1350,2.42
"034020","두산에너빌리티",17900,880,5.17,NA,NA,703,25.47,11146,1.61,0,0
"000155","두산우",64800,-9900,-13.25,NA,NA,NA,NA,NA,NA,2050,3.16
"131970","두산테스나",50900,-1100,-2.12,3080,16.53,3360,15.15,21119,2.41,160,0.31
"336260","두산퓨얼셀",23150,-250,-1.07,47,492.55,275,84.19,7988,2.9,0,0
"33626K","두산퓨얼셀1우",7760,-90,-1.15,NA,NA,NA,NA,NA,NA,0,0
"33626L","두산퓨얼셀2우B",9990,-230,-2.25,NA,NA,NA,NA,NA,NA,0,0
"016740","두올",3270,-70,-2.1,224,14.6,NA,NA,5889,0.56,80,2.45
"073190","듀오백",2530,-20,-0.78,NA,NA,NA,NA,1865,1.36,0,0
"030350","드래곤플라이",510,-19,-3.59,NA,NA,NA,NA,972,0.52,0,0
"203650","드림시큐리티",3930,235,6.36,191,20.58,NA,NA,1683,2.34,0,0
"223250","드림씨아이에스",23900,1450,6.46,776,30.8,NA,NA,8496,2.81,0,0
"060570","드림어스컴퍼니",3740,25,0.67,480,7.79,NA,NA,2951,1.27,0,0
"192650","드림텍",12870,-520,-3.88,965,13.34,1136,11.33,6133,2.1,200,1.55
"217620","디딤이앤에프",860,-60,-6.52,NA,NA,NA,NA,214,4.02,0,0
"016670","디모아",375,-10,-2.6,NA,NA,NA,NA,515,0.73,0,0
"187870","디바이스이엔지",14070,-40,-0.28,1560,9.02,NA,NA,19571,0.72,210,1.49
"066670","디스플레이텍",6130,-90,-1.45,435,14.09,NA,NA,10086,0.61,50,0.82
"024090","디씨엠",11740,60,0.51,4097,2.87,NA,NA,28881,0.41,900,7.67
"003160","디아이",7460,-770,-9.36,564,13.23,NA,NA,5841,1.28,100,1.34
"092200","디아이씨",6140,-120,-1.92,79,77.72,NA,NA,2625,2.34,0,0
"110990","디아이티",13300,320,2.47,508,26.18,NA,NA,9727,1.37,300,2.26
"263690","디알젬",11100,-80,-0.72,1306,8.5,NA,NA,6684,1.66,317,2.86
"214680","디알텍",6050,-120,-1.94,103,58.74,190,31.78,1041,5.81,0,0
"263720","디앤씨미디어",19560,-490,-2.44,504,38.81,852,22.95,6066,3.22,0,0
"376300","디어유",41600,-700,-1.65,732,56.83,1672,24.88,5988,6.95,0,0
"141020","디에스앤엘",3735,0,0,NA,NA,NA,NA,109,34.27,0,0
"109740","디에스케이",5930,-30,-0.5,NA,NA,NA,NA,5020,1.18,0,0
"196490","디에이테크놀로지",3485,-115,-3.19,NA,NA,NA,NA,2984,1.17,0,0
"066900","디에이피",3430,-105,-2.97,518,6.62,NA,NA,7244,0.47,0,0
"127120","디엔에이링크",3535,35,1,NA,NA,NA,NA,1632,2.17,0,0
"092070","디엔에프",18420,30,0.16,499,36.91,NA,NA,13033,1.41,200,1.09
"039840","디오",26050,-400,-1.51,NA,NA,2336,11.15,11250,2.32,0,0
"013570","디와이",6830,-340,-4.74,NA,NA,NA,NA,13814,0.49,120,1.76
"219550","디와이디",1115,-14,-1.24,30,37.17,NA,NA,1217,0.92,0,0
"310870","디와이씨",1846,-5,-0.27,210,8.79,NA,NA,2247,0.82,0,0
"210540","디와이파워",14000,0,0,1618,8.65,NA,NA,21781,0.64,250,1.79
"104460","디와이피엔에프",21950,-50,-0.23,NA,NA,NA,NA,11057,1.99,100,0.46
"079810","디이엔티",30550,-1150,-3.63,NA,NA,NA,NA,1332,22.94,0,0
"113810","디젠스",1134,-59,-4.95,NA,NA,NA,NA,499,2.27,0,0
"043360","디지아이",3015,-25,-0.82,77,39.16,NA,NA,5011,0.6,0,0
"197140","디지캡",5850,-570,-8.88,104,56.25,NA,NA,4799,1.22,30,0.51
"068930","디지털대성",5720,-20,-0.35,673,8.5,582,9.83,5758,0.99,200,3.5
"033130","디지틀조선",2120,-5,-0.24,75,28.27,NA,NA,2204,0.96,20,0.94
"105740","디케이락",10340,-60,-0.58,685,15.09,1852,5.58,12310,0.84,200,1.93
"263020","디케이앤디",3000,-5,-0.17,473,6.34,746,4.02,4112,0.73,50,1.67
"290550","디케이티",8120,20,0.25,1193,6.81,1288,6.3,6123,1.33,0,0
"187220","디티앤씨",4130,-80,-1.9,124,33.31,NA,NA,8768,0.47,0,0
"383930","디티앤씨알오",5450,-260,-4.55,517,10.54,NA,NA,3668,1.49,0,0
"131180","딜리",1255,0,0,94,13.35,NA,NA,2103,0.6,40,3.19
"315640","딥노이드",25800,-250,-0.96,NA,NA,NA,NA,1039,24.83,0,0
"317120","라닉스",4720,-135,-2.78,NA,NA,NA,NA,1487,3.17,0,0
"042510","라온시큐어",2495,-85,-3.29,172,14.51,NA,NA,983,2.54,0,0
"232680","라온테크",9360,-290,-3.01,603,15.52,NA,NA,2252,4.16,50,0.53
"418420","라온텍",8610,280,3.36,23,374.35,NA,NA,300,28.7,0,0
"300120","라온피플",7070,-230,-3.15,NA,NA,NA,NA,2616,2.7,50,0.71
"171120","라이온켐텍",3965,-130,-3.17,247,16.05,NA,NA,3414,1.16,200,5.04
"388790","라이콤",2910,-45,-1.52,NA,NA,NA,NA,1902,1.53,0,0
"069540","라이트론",3435,-145,-4.05,NA,NA,NA,NA,2214,1.55,0,0
"347700","라이프시맨틱스",4650,5,0.11,NA,NA,NA,NA,936,4.97,0,0
"214260","라파스",28200,1500,5.62,NA,NA,NA,NA,4840,5.83,0,0
"115390","락앤락",6000,80,1.35,NA,NA,NA,NA,11990,0.5,1953,32.55
"200350","래몽래인",12340,-200,-1.59,NA,NA,NA,NA,6554,1.88,0,0
"171010","램테크놀러지",5630,-110,-1.92,436,12.91,NA,NA,3731,1.51,0,0
"084650","랩지노믹스",5410,-40,-0.73,715,7.57,NA,NA,3079,1.76,0,0
"217500","러셀",3490,-120,-3.32,113,30.88,NA,NA,1830,1.91,30,0.86
"141080","레고켐바이오",38700,-1900,-4.68,NA,NA,NA,NA,8611,4.49,0,0
"038390","레드캡투어",15380,-90,-0.58,2589,5.94,NA,NA,23494,0.65,900,5.85
"294140","레몬",3305,-45,-1.34,NA,NA,NA,NA,306,10.8,0,0
"228670","레이",23300,-600,-2.51,541,43.07,1519,15.34,8300,2.81,0,0
"228850","레이언스",10020,-150,-1.47,1401,7.15,1219,8.22,14282,0.7,300,2.99
"412350","레이저쎌",12110,-650,-5.09,NA,NA,NA,NA,4176,2.9,0,0
"281740","레이크머티리얼즈",14440,-310,-2.1,411,35.13,NA,NA,1310,11.02,0,0
"277810","레인보우로보틱스",172900,-5300,-2.97,356,485.67,NA,NA,3663,47.2,0,0
"215100","로보로보",5340,-140,-2.55,NA,NA,NA,NA,1459,3.66,0,0
"090360","로보스타",30400,-700,-2.25,337,90.21,NA,NA,9222,3.3,0,0
"108490","로보티즈",26850,-150,-0.56,NA,NA,NA,NA,7148,3.76,0,0
"067730","로지시스",3285,-25,-0.76,21,156.43,NA,NA,1764,1.86,60,1.83
"071280","로체시스템즈",6320,-70,-1.1,1358,4.65,NA,NA,7003,0.9,50,0.79
"032350","롯데관광개발",14910,-90,-0.6,NA,NA,NA,NA,3223,4.63,0,0
"089860","롯데렌탈",27150,-250,-0.91,2577,10.54,4011,6.77,35333,0.77,900,3.31
"000400","롯데손해보험",3105,715,29.92,NA,NA,NA,NA,1451,2.14,0,0
"023530","롯데쇼핑",75800,2800,3.84,NA,NA,9110,8.32,338431,0.22,3300,4.35
"020150","롯데에너지머티리얼즈",43400,-1750,-3.88,950,45.68,1230,35.27,31661,1.37,300,0.69
"280360","롯데웰푸드",112100,0,0,6160,18.2,11052,10.14,228909,0.49,2300,2.05
"004000","롯데정밀화학",59600,-400,-0.67,5738,10.39,11445,5.21,90075,0.66,3500,5.87
"286940","롯데정보통신",25750,-650,-2.46,2015,12.78,3148,8.18,28084,0.92,700,2.72
"004990","롯데지주",26550,-100,-0.38,2387,11.12,2869,9.26,100489,0.26,1500,5.65
"00499K","롯데지주우",35350,50,0.14,NA,NA,NA,NA,NA,NA,1550,4.38
"005300","롯데칠성",130500,900,0.69,12754,10.23,15698,8.31,150133,0.87,3300,2.53
"005305","롯데칠성우",66800,0,0,NA,NA,NA,NA,NA,NA,3305,4.95
"011170","롯데케미칼",146700,2500,1.73,1716,85.49,9884,14.84,404799,0.36,3500,2.39
"071840","롯데하이마트",9540,160,1.71,NA,NA,NA,NA,55987,0.17,300,3.14
"328130","루닛",243500,15500,6.8,NA,NA,NA,NA,5636,43.2,0,0
"038060","루멘스",1487,-15,-1,338,4.4,NA,NA,1992,0.75,0,0
"085370","루트로닉",36800,0,0,1771,20.78,NA,NA,6286,5.85,322,0.88
"08537M","루트로닉3우C",55300,0,0,NA,NA,NA,NA,NA,NA,151,0.27
"060240","룽투코리아",1688,-39,-2.26,NA,NA,NA,NA,1490,1.13,0,0
"058470","리노공업",155000,-600,-0.39,7534,20.57,6760,22.93,32491,4.77,3000,1.94
"039980","리노스",891,-14,-1.55,NA,NA,NA,NA,1554,0.57,0,0
"019570","리더스 기술투자",867,-10,-1.14,NA,NA,NA,NA,768,1.13,0,0
"016100","리더스코스메틱",2850,-85,-2.9,NA,NA,NA,NA,2357,1.21,0,0
"012700","리드코프",5880,-30,-0.51,1250,4.7,NA,NA,16662,0.35,800,13.61
"302550","리메드",18400,0,0,653,28.18,NA,NA,4883,3.77,0,0
"073570","리튬포어스",11990,-160,-1.32,4957,2.42,NA,NA,6722,1.78,0,0
"377450","리파인",7730,-70,-0.9,1095,7.06,NA,NA,8818,0.88,0,0
"277070","린드먼아시아",5080,-20,-0.39,267,19.03,NA,NA,4210,1.21,28,0.55
"042500","링네트",4185,0,0,810,5.17,NA,NA,6765,0.62,0,0
"219420","링크제니시스",6110,-90,-1.45,172,35.52,NA,NA,3754,1.63,0,0
"439090","마녀공장",30100,-1300,-4.14,12191,2.47,NA,NA,3642,8.26,0,0
"027740","마니커",1159,-7,-0.6,16,72.44,NA,NA,777,1.49,0,0
"195500","마니커에프앤지",3500,-75,-2.1,NA,NA,NA,NA,4069,0.86,0,0
"377480","마음AI",29000,-1250,-4.13,NA,NA,NA,NA,4213,6.88,0,0
"305090","마이크로디지탈",8170,-60,-0.73,NA,NA,NA,NA,366,22.32,0,0
"098120","마이크로컨텍솔",9720,-70,-0.72,848,11.46,NA,NA,5894,1.65,80,0.82
"424980","마이크로투나노",17580,-200,-1.12,1185,14.84,NA,NA,5335,3.3,0,0
"038290","마크로젠",19120,0,0,NA,NA,NA,NA,17861,1.07,300,1.57
"001080","만호제강",43600,1100,2.59,2168,20.11,NA,NA,79971,0.55,250,0.57
"267980","매일유업",43250,-600,-1.37,1966,22,9760,4.43,69073,0.63,1200,2.77
"005990","매일홀딩스",8360,-160,-1.88,520,16.08,NA,NA,26999,0.31,150,1.79
"093520","매커스",11400,450,4.11,1854,6.15,1638,6.96,8312,1.37,120,1.05
"377030","맥스트",7330,-180,-2.4,NA,NA,NA,NA,1953,3.75,0,0
"100590","머큐리",8900,10,0.11,36,247.22,NA,NA,5967,1.49,0,0
"067280","멀티캠퍼스",32450,-50,-0.15,5106,6.36,NA,NA,28530,1.14,800,2.47
"072870","메가스터디",10780,-200,-1.82,1637,6.59,NA,NA,26478,0.41,1050,9.74
"215200","메가스터디교육",52000,-500,-0.95,8793,5.91,9844,5.28,35711,1.46,2100,4.04
"133750","메가엠디",2085,-60,-2.8,96,21.72,NA,NA,2978,0.7,0,0
"235980","메드팩토",10720,-340,-3.07,NA,NA,NA,NA,1533,6.99,0,0
"041920","메디아나",6260,160,2.62,664,9.43,NA,NA,5644,1.11,50,0.8
"014100","메디앙스",3035,-40,-1.3,NA,NA,NA,NA,7165,0.42,0,0
"054180","메디콕스",1069,-44,-3.95,NA,NA,NA,NA,2476,0.43,0,0
"086900","메디톡스",271000,-8000,-2.87,5518,49.11,7264,37.31,67873,3.99,1000,0.37
"078160","메디포스트 [락]",7750,-180,-2.27,167,46.41,NA,NA,9811,0.79,0,0
"065650","메디프론",1229,0,0,NA,NA,NA,NA,661,1.86,0,0
"138040","메리츠금융지주",54700,-100,-0.18,8406,6.51,11071,4.94,27050,2.02,105,0.19
"408920","메쎄이상",2910,-50,-1.69,NA,NA,NA,NA,1803,1.61,0,0
"021880","메이슨캐피탈",300,1,0.33,NA,NA,NA,NA,355,0.85,0,0
"140410","메지온",48350,-250,-0.51,NA,NA,NA,NA,981,49.29,0,0
"241770","메카로",10810,-180,-1.64,4453,2.43,NA,NA,19540,0.55,455,4.21
"090370","메타랩스",2495,-5,-0.2,NA,NA,NA,NA,3160,0.79,0,0
"059210","메타바이오메드",3970,-95,-2.34,115,34.52,NA,NA,2649,1.5,20,0.5
"058110","멕아이씨에스",3140,10,0.32,NA,NA,NA,NA,4312,0.73,30,0.96
"017180","명문제약",2350,-50,-2.08,233,10.09,NA,NA,2648,0.89,0,0
"257370","명성티엔에스",9210,0,0,NA,NA,NA,NA,2120,4.34,0,0
"009900","명신산업",19330,-370,-1.88,1633,11.84,3027,6.39,7315,2.64,0,0
"012690","모나리자",2660,-15,-0.56,64,41.56,NA,NA,2123,1.25,50,1.88
"005360","모나미",3310,-35,-1.05,166,19.94,NA,NA,5502,0.6,70,2.11
"434480","모니터랩",10310,-490,-4.54,88,117.16,NA,NA,1490,6.92,0,0
"080420","모다이노칩",2840,-25,-0.87,NA,NA,NA,NA,4472,0.64,0,0
"417970","모델솔루션",17850,30,0.17,1370,13.03,NA,NA,9776,1.83,300,1.68
"080160","모두투어",16850,-120,-0.71,NA,NA,1218,13.84,3211,5.25,0,0
"087260","모바일어플라이언스",2925,-130,-4.26,65,45,NA,NA,1415,2.07,0,0
"101330","모베이스",3465,-40,-1.14,809,4.28,NA,NA,12937,0.27,70,2.02
"012860","모베이스전자",2450,-15,-0.61,97,25.26,NA,NA,2532,0.97,10,0.41
"363260","모비데이즈",786,-9,-1.13,NA,NA,NA,NA,250,3.14,0,0
"348030","모비릭스",8660,-440,-4.84,589,14.7,NA,NA,8312,1.04,0,0
"250060","모비스",3500,805,29.87,NA,NA,NA,NA,742,4.72,0,0
"288980","모아데이타",3125,-280,-8.22,57,54.82,NA,NA,1131,2.76,0,0
"033200","모아텍",4415,-25,-0.56,NA,NA,NA,NA,7598,0.58,0,0
"333050","모코엠시스",1475,-4,-0.27,NA,NA,144,10.27,837,1.76,14,0.95
"009680","모토닉",9130,40,0.44,988,9.24,NA,NA,19912,0.46,400,4.38
"118990","모트렉스",17850,-340,-1.87,1580,11.3,2362,7.56,7276,2.45,246,1.38
"006920","모헨즈",4270,-50,-1.16,171,24.97,NA,NA,2326,1.84,0,0
"009580","무림P&P",3270,-15,-0.46,721,4.54,409,8,10484,0.31,150,4.59
"001810","무림SP",2010,5,0.25,NA,NA,NA,NA,9321,0.22,15,0.75
"009200","무림페이퍼",2295,-10,-0.43,365,6.29,NA,NA,10014,0.23,50,2.18
"033920","무학",5780,0,0,NA,NA,NA,NA,18143,0.32,230,3.98
"008420","문배철강",3225,-25,-0.77,1338,2.41,NA,NA,8612,0.37,50,1.55
"279600","미디어젠",12540,110,0.88,NA,NA,NA,NA,3538,3.54,0,0
"095500","미래나노텍",18090,-460,-2.48,NA,NA,NA,NA,8218,2.2,60,0.33
"254490","미래반도체",22500,300,1.35,1399,16.08,1494,15.06,5065,4.44,0,0
"025560","미래산업",3700,-215,-5.49,303,12.21,NA,NA,3527,1.05,0,0
"218150","미래생명자원",4525,-215,-4.54,52,87.02,NA,NA,2147,2.11,0,0
"007120","미래아이앤지",1299,-13,-0.99,NA,NA,NA,NA,2635,0.49,0,0
"442900","미래에셋드림스팩1호",9380,-10,-0.11,NA,NA,NA,NA,NA,NA,0,0
"100790","미래에셋벤처투자",4950,-10,-0.2,1169,4.23,NA,NA,6217,0.8,0,0
"412930","미래에셋비전스팩1호",2115,15,0.71,NA,NA,NA,NA,NA,NA,0,0
"446190","미래에셋비전스팩2호",2090,10,0.48,NA,NA,NA,NA,NA,NA,0,0
"448830","미래에셋비전스팩3호",2060,-10,-0.48,NA,NA,NA,NA,NA,NA,0,0
"085620","미래에셋생명",4590,-50,-1.08,441,10.41,524,8.77,10179,0.45,0,0
"006800","미래에셋증권",6940,-10,-0.14,1033,6.72,938,7.4,21818,0.32,200,2.88
"00680K","미래에셋증권2우B",3640,-5,-0.14,NA,NA,NA,NA,NA,NA,200,5.49
"006805","미래에셋증권우",3710,-5,-0.13,NA,NA,NA,NA,NA,NA,220,5.93
"049950","미래컴퍼니",34500,-1450,-4.03,3737,9.23,NA,NA,16837,2.05,300,0.87
"207760","미스터블루",1856,-54,-2.83,42,44.19,NA,NA,912,2.04,10,0.54
"002840","미원상사",164900,2200,1.35,14752,11.18,NA,NA,70659,2.33,1500,0.91
"268280","미원에스씨",139500,1000,0.72,12932,10.79,NA,NA,75680,1.84,2300,1.65
"107590","미원홀딩스",86900,700,0.81,8717,9.97,NA,NA,95466,0.91,700,0.81
"134380","미원화학",70000,-1100,-1.55,7959,8.8,NA,NA,64815,1.08,2500,3.57
"003650","미창석유",71500,200,0.28,15455,4.63,NA,NA,212260,0.34,2500,3.5
"059090","미코",11020,-280,-2.48,NA,NA,NA,NA,4503,2.45,0,0
"214610","미코바이오메드",5890,320,5.75,NA,NA,NA,NA,967,6.09,0,0
"201490","미투온",2975,-90,-2.94,277,10.74,NA,NA,3872,0.77,0,0
"206640","바디텍메드",19650,-330,-1.65,1080,18.19,NA,NA,7445,2.64,150,0.76
"018700","바른손",1929,21,1.1,NA,NA,NA,NA,1705,1.13,0,0
"035620","바른손이앤에이",776,7,0.91,NA,NA,NA,NA,1160,0.67,0,0
"053030","바이넥스",8760,-120,-1.35,402,21.79,NA,NA,6196,1.41,0,0
"301300","바이브컴퍼니",8480,-170,-1.97,NA,NA,NA,NA,1017,8.34,0,0
"377740","바이오노트",5010,-60,-1.18,3277,1.53,NA,NA,15707,0.32,490,9.78
"064550","바이오니아",36550,-750,-2.01,468,78.1,NA,NA,9144,4,0,0
"314930","바이오다인",59400,-1000,-1.66,910,65.27,NA,NA,7509,7.91,0,0
"208710","바이오로그디바이스",1017,-1,-0.1,6,169.5,NA,NA,1212,0.84,0,0
"086820","바이오솔루션",14830,-340,-2.24,NA,NA,NA,NA,5456,2.72,0,0
"038460","바이오스마트",3710,65,1.78,38,97.63,NA,NA,5038,0.74,0,0
"251120","바이오에프디엔씨",14450,-330,-2.23,492,29.37,NA,NA,6211,2.33,0,0
"199730","바이오인프라",15140,0,0,1511,10.02,NA,NA,4339,3.49,0,0
"086040","바이오톡스텍",7140,-120,-1.65,186,38.39,NA,NA,3022,2.36,0,0
"099430","바이오플러스",7310,-150,-2.01,364,20.08,NA,NA,1955,3.74,70,0.96
"032980","바이온",1658,8,0.48,NA,NA,NA,NA,645,2.57,0,0
"222160","바이옵트로",5800,-30,-0.51,15,386.67,NA,NA,2928,1.98,0,0
"308080","바이젠셀",5660,-90,-1.57,NA,NA,NA,NA,4717,1.2,0,0
"043150","바텍",32700,-1500,-4.39,5176,6.32,4915,6.65,23514,1.39,100,0.31
"323990","박셀바이오",34150,300,0.89,NA,NA,NA,NA,1532,22.29,0,0
"003610","방림",2300,100,4.55,152,15.13,NA,NA,5532,0.42,45,1.96
"267790","배럴",6660,-80,-1.19,NA,NA,NA,NA,3865,1.72,0,0
"001340","백광산업",7790,0,0,491,15.87,NA,NA,4741,1.64,60,0.77
"046310","백금T&A",3455,-70,-1.99,289,11.96,NA,NA,3002,1.15,0,0
"035150","백산",7990,-90,-1.11,1882,4.25,NA,NA,7626,1.05,150,1.88
"331520","밸로프",1111,-28,-2.46,35,31.74,NA,NA,517,2.15,0,0
"438700","버넥트",11170,-220,-1.93,NA,NA,NA,NA,2725,4.1,0,0
"066410","버킷스튜디오",1153,0,0,NA,NA,NA,NA,1886,0.61,0,0
"002410","범양건영",2720,65,2.45,NA,NA,NA,NA,3085,0.88,0,0
"382900","범한퓨얼셀",21600,-100,-0.46,292,73.97,512,42.17,12395,1.74,0,0
"206400","베노티앤알",4880,-150,-2.98,NA,NA,NA,NA,2426,2.01,0,0
"019010","베뉴지",2140,-10,-0.47,NA,NA,NA,NA,7548,0.28,30,1.4
"177350","베셀",2940,-165,-5.31,NA,NA,NA,NA,2564,1.15,0,0
"299910","베스파",3165,0,0,NA,NA,NA,NA,NA,NA,0,0
"424760","벨로크",2335,20,0.86,NA,NA,NA,NA,NA,NA,0,0
"007210","벽산",3845,120,3.22,175,21.97,NA,NA,4254,0.9,25,0.65
"225530","보광산업",5940,-30,-0.5,332,17.89,NA,NA,2447,2.43,150,2.53
"250000","보라티알",11940,-330,-2.69,2644,4.52,NA,NA,11667,1.02,300,2.51
"002760","보락",1470,-7,-0.47,51,28.82,NA,NA,808,1.82,7,0.48
"003850","보령",10480,-70,-0.66,636,16.48,699,14.99,7833,1.34,100,0.95
"310210","보로노이",56600,100,0.18,NA,NA,NA,NA,2291,24.71,0,0
"006910","보성파워텍",3415,115,3.48,NA,NA,NA,NA,1651,2.07,0,0
"000890","보해양조",541,-7,-1.28,NA,NA,NA,NA,593,0.91,0,0
"226340","본느",2710,70,2.65,65,41.69,NA,NA,835,3.25,0,0
"003000","부광약품",6510,-160,-2.4,NA,NA,NA,NA,3845,1.69,0,0
"001270","부국증권",22000,-200,-0.9,4736,4.65,NA,NA,116987,0.19,1500,6.82
"001275","부국증권우",19240,80,0.42,NA,NA,NA,NA,NA,NA,1550,8.06
"026940","부국철강",3310,-45,-1.34,355,9.32,NA,NA,6300,0.53,75,2.27
"014470","부방",2860,-285,-9.06,582,4.91,NA,NA,3441,0.83,0,0
"011390","부산산업",68900,200,0.29,2451,28.11,NA,NA,55020,1.25,250,0.36
"005030","부산주공",486,0,0,NA,NA,NA,NA,316,1.54,0,0
"008470","부스타",4735,-25,-0.53,NA,NA,NA,NA,9740,0.49,50,1.06
"338220","뷰노",47350,-1700,-3.47,NA,NA,NA,NA,1643,28.82,0,0
"100120","뷰웍스",31950,-650,-1.99,2890,11.06,3077,10.38,22784,1.4,700,2.19
"406820","뷰티스킨",25650,-950,-3.57,1089,23.55,NA,NA,10616,2.42,0,0
"337930","브랜드엑스코퍼레이션",4980,30,0.61,344,14.48,NA,NA,2675,1.86,120,2.41
"099390","브레인즈컴퍼니",8310,-290,-3.37,621,13.38,NA,NA,5354,1.55,60,0.72
"064480","브리지텍",7090,-250,-3.41,293,24.2,NA,NA,4465,1.59,150,2.12
"288330","브릿지바이오테라퓨틱스",5160,-140,-2.64,NA,NA,NA,NA,2607,1.98,0,0
"365900","브이씨",4730,-50,-1.05,191,24.76,NA,NA,6716,0.7,0,0
"251630","브이원텍",12330,-330,-2.61,NA,NA,580,21.27,6661,1.85,100,0.81
"018290","브이티",19400,1610,9.05,342,56.73,976,19.87,2395,8.1,0,0
"044480","블레이드 Ent",1270,-21,-1.63,NA,NA,NA,NA,873,1.45,0,0
"033560","블루콤",3670,-20,-0.54,NA,NA,NA,NA,9397,0.39,0,0
"369370","블리츠웨이",2095,90,4.49,NA,NA,NA,NA,845,2.48,0,0
"126340","비나텍",60500,2400,4.13,2098,28.84,972,62.21,10977,5.51,0,0
"121800","비덴트",3320,0,0,NA,NA,NA,NA,10366,0.32,0,0
"148140","비디아이",640,0,0,NA,NA,NA,NA,NA,NA,0,0
"082800","비보존 제약",617,6,0.98,NA,NA,NA,NA,452,1.37,0,0
"318410","비비씨",9790,70,0.72,184,53.21,NA,NA,13154,0.74,200,2.04
"002070","비비안",1306,-19,-1.43,NA,NA,NA,NA,3232,0.4,0,0
"100220","비상교육",4495,-45,-0.99,NA,NA,NA,NA,16097,0.28,100,2.22
"419540","비스토스",2515,-90,-3.45,NA,NA,NA,NA,752,3.34,0,0
"146320","비씨엔씨",17720,100,0.57,851,20.82,1132,15.66,5955,2.98,0,0
"200780","비씨월드제약",6510,-50,-0.76,33,197.27,NA,NA,9427,0.69,100,1.54
"141000","비아트론",9060,20,0.22,1382,6.56,NA,NA,14931,0.61,150,1.66
"090460","비에이치",22350,0,0,4551,4.91,3871,5.77,17692,1.26,250,1.12
"083650","비에이치아이",7890,790,11.13,NA,NA,NA,NA,1898,4.16,0,0
"445360","비엔케이제1호스팩",2035,0,0,NA,NA,NA,NA,NA,NA,0,0
"142760","비엘",2685,-100,-3.59,NA,NA,NA,NA,690,3.89,0,0
"065170","비엘팜텍",600,-11,-1.8,NA,NA,NA,NA,380,1.58,0,0
"086670","비엠티",13970,20,0.14,1784,7.83,2670,5.23,11634,1.2,200,1.43
"335890","비올",6510,-130,-1.96,198,32.88,465,14.01,670,9.72,10,0.15
"138580","비즈니스온",12460,-1220,-8.92,493,25.27,676,18.43,3070,4.06,0,0
"082920","비츠로셀",20700,400,1.97,1089,19.01,2084,9.93,8768,2.36,200,0.97
"054220","비츠로시스",563,-12,-2.09,NA,NA,NA,NA,374,1.51,0,0
"042370","비츠로테크",8470,1350,18.96,247,34.29,NA,NA,8197,1.03,50,0.59
"030790","비케이탑스",904,0,0,NA,NA,NA,NA,277,3.26,0,0
"050090","비케이홀딩스",1209,-12,-0.98,NA,NA,NA,NA,1128,1.07,0,0
"307870","비투엔",2245,-145,-6.07,NA,NA,NA,NA,564,3.98,0,0
"357880","비트나인",6740,0,0,NA,NA,NA,NA,3236,2.08,0,0
"032850","비트컴퓨터",5960,-120,-1.97,296,20.14,NA,NA,3816,1.56,61,1.02
"148780","비플라이소프트",1039,-42,-3.89,NA,NA,NA,NA,379,2.74,0,0
"238200","비피도",6880,280,4.24,189,36.4,NA,NA,6417,1.07,0,0
"093190","빅솔론",5800,0,0,674,8.61,NA,NA,11015,0.53,400,6.9
"065450","빅텍",4135,-110,-2.59,NA,NA,NA,NA,2130,1.94,0,0
"210120","빅텐츠",19920,-1130,-5.37,537,37.09,NA,NA,4735,4.21,0,0
"005180","빙그레",55100,-1200,-2.13,2905,18.97,6422,8.58,65119,0.85,1500,2.72
"072950","빛샘전자",4550,-70,-1.52,278,16.37,NA,NA,8591,0.53,168,3.69
"143240","사람인",22500,-150,-0.66,2656,8.47,NA,NA,15673,1.44,700,3.11
"003960","사조대림",27800,-200,-0.71,9689,2.87,NA,NA,67677,0.41,350,1.26
"008040","사조동아원",980,-12,-1.21,8,122.5,NA,NA,1639,0.6,0,0
"007160","사조산업",39900,0,0,13998,2.85,NA,NA,102866,0.39,350,0.88
"014710","사조씨푸드",4025,-20,-0.49,482,8.35,NA,NA,13889,0.29,40,0.99
"006090","사조오양",8270,-180,-2.13,905,9.14,NA,NA,21856,0.38,120,1.45
"419120","산돌",9030,-120,-1.31,1469,6.15,NA,NA,7296,1.24,180,1.99
"122350","삼기",2650,-80,-2.93,NA,NA,NA,NA,3011,0.88,0,0
"419050","삼기이브이",5120,-190,-3.58,165,31.03,NA,NA,910,5.63,0,0
"014970","삼륭물산",3750,-30,-0.79,NA,NA,NA,NA,3969,0.94,75,2
"018310","삼목에스폼",18130,280,1.57,4457,4.07,NA,NA,33446,0.54,100,0.55
"053700","삼보모터스",5700,-100,-1.72,1169,4.88,NA,NA,14119,0.4,50,0.88
"009620","삼보산업",1092,-15,-1.36,NA,NA,NA,NA,535,2.04,0,0
"023600","삼보판지",9050,0,0,3517,2.57,NA,NA,31370,0.29,175,1.93
"001470","삼부토건",3605,-80,-2.17,NA,NA,NA,NA,975,3.7,0,0
