"","종목코드","종목명","현재가","전일비","등락률","액면가","시가총액","상장주식수","외국인비율","거래량","PER","ROE"
"967","388790","라이콤","2,955","100","-3.27%","100","884","29,914",0.54,"1,476,180","21.73","24.39"
"968","150900","파수","7,580","100","+1.34%","500","883","11,655",8.2,"81,142","22.76","17.97"
"969","064480","브리지텍","7,340","180","-2.39%","500","877","11,952",1.38,"134,749","32.77","7.39"
"970","142760","비엘","2,785","70","-2.45%","500","876","31,449",0.87,"131,641","-6.13","-69.27"
"971","006580","대양제지","3,260","0","0.00%","500","875","26,850",0.45,"0","-67.92","-1.46"
"972","348030","모비릭스","9,100","40","+0.44%","100","874","9,604",0.45,"10,341","48.15","7.37"
"973","187420","제노포커스","3,840","100","-2.54%","500","874","22,758",0.51,"296,494","-6.54","-43.83"
"974","046390","삼화네트웍스","2,020","36","+1.81%","200","872","43,173",1.02,"188,243","28.45","27.16"
"975","036640","HRS","5,310","20","-0.38%","500","868","16,355",2.66,"36,711","8.88","9.75"
"976","250060","모비스","2,695","130","+5.07%","100","867","32,171",0.44,"8,525,707","-65.73","-21.81"
"977","033320","제이씨현시스템","4,535","40","-0.87%","500","867","19,114",0.76,"29,648","25.62","0.26"
"978","131030","옵투스제약","5,360","40","+0.75%","500","866","16,153",2.53,"22,695","11.45","3.99"
"979","041460","한국전자인증","4,555","300","+7.05%","500","865","19,000",2.28,"1,294,074","29.01","7.69"
"980","012790","신일제약","7,220","80","-1.10%","500","865","11,986",1.96,"28,807","7.45","10.28"
"981","277410","인산가","2,265","30","+1.34%","100","865","38,191",1.73,"3,915,299","21.99","7.41"
"982","049480","오픈베이스","2,750","35","+1.29%","500","864","31,422",4.24,"581,459","18.21","8.16"
"983","136410","아셈스","7,830","130","+1.69%","500","863","11,019",0.67,"18,053","14.37","15.34"
"984","039240","경남스틸","3,195","15","+0.47%","100","862","26,980",2.2,"108,262","8.36","9.85"
"985","241520","DSC인베스트먼트","3,080","15","-0.48%","500","857","27,811",1.04,"44,401","14.26","18.72"
"986","084180","수성샐바시온","770","46","+6.35%","500","856","111,152",1.12,"9,179,155","-2.48","-17.81"
"987","027830","대성창투","1,581","12","-0.75%","500","854","54,000",1.73,"53,897","-31","1.34"
"988","429270","시지트로닉스","18,930","450","-2.32%","500","853","4,506",0.96,"94,332","-15.5","-31.52"
"989","227610","아우딘퓨쳐스","2,695","395","+17.17%","500","853","31,652",1.9,"2,221,261","-4.4","-113.81"
"990","109960","에이프로젠 H&G","1,301","11","+0.85%","500","853","65,566",0,"126,483","4.58","-2.66"
"991","369370","블리츠웨이","2,005","35","-1.72%","100","852","42,493",10.43,"68,544","-13.19","N/A"
"992","069920","아이에스이커머스","3,295","40","-1.20%","500","851","25,826",0.98,"77,994","-6.68","-17.91"
"993","239340","줌인터넷","3,145","55","+1.78%","100","848","26,980",1.22,"658,219","-20.16","-6.39"
"994","134580","탑코미디어","3,850","60","+1.58%","500","848","22,026",5.54,"23,292","-5.83","N/A"
"995","368600","아이씨에이치","4,985","45","-0.89%","500","847","16,994",0.87,"59,690","-6.38","-12.88"
"996","092300","현우산업","4,520","150","-3.21%","500","844","18,673",0.92,"165,413","12.32","5.27"
"997","318000","KBG","9,640","260","-2.63%","200","843","8,740",2.19,"149,084","20.78","9.77"
"998","440320","오픈놀","8,590","150","+1.78%","100","842","9,805",1.02,"148,057","-130.15","-4.57"
"999","258610","케일럼","3,140","50","-1.57%","500","841","26,787",0.56,"44,809","-2.93","-32.68"
"1000","115440","우리넷","7,820","50","-0.64%","500","841","10,754",0.38,"148,901","-12.84","-16.13"
"1001","158430","아톤","3,850","70","-1.79%","100","840","21,818",0.97,"100,745","4.82","28.32"
"1002","352770","클리노믹스","2,625","40","-1.50%","100","839","31,975",1.53,"885,729","-2.88","-18.25"
"1003","036670","KCI","7,440","30","-0.40%","500","838","11,270",1.54,"8,412","6.15","19.71"
"1004","095270","웨이브일렉트로","5,600","20","+0.36%","500","838","14,971",1.24,"129,492","-20.66","-10.25"
"1005","080580","오킨스전자","4,730","190","-3.86%","500","836","17,679",2.7,"158,743","131.39","8.36"
"1006","099220","SDN","1,483","19","-1.26%","500","833","56,172",3.02,"89,474","-741.5","0.76"
"1007","115180","큐리언트","6,700","130","-1.90%","500","831","12,406",1.01,"83,877","-3.21","-61.68"
"1008","250000","보라티알","12,270","280","-2.23%","500","828","6,751",0.53,"67,212","13.07","25.31"
"1009","066360","체리부로","1,726","42","+2.49%","500","828","47,952",2.69,"569,211","9.08","15.28"
"1010","049550","잉크테크","4,220","25","+0.60%","500","827","19,606",0.19,"6,666","36.38","6.17"
"1011","225220","제놀루션","4,310","65","-1.49%","500","827","19,190",1.93,"46,142","-70.66","16.51"
"1012","230980","에이트원","991","10","-1.00%","100","827","83,448",0.67,"200,419","-2.54","-62.57"
"1013","082210","옵트론텍","3,375","110","-3.16%","500","826","24,484",2.83,"224,820","-1.58","-113.07"
"1014","024950","삼천리자전거","6,220","30","-0.48%","500","826","13,274",0.98,"20,563","-23.83","-5.24"
"1015","227950","엔투텍","797","12","-1.48%","100","825","103,576",2.83,"344,064","3.02","0.83"
"1016","339950","아이비김영","1,830","4","-0.22%","100","823","44,947",0.86,"135,626","35.88","0.71"
"1017","336060","웨이버스","1,706","29","-1.67%","100","822","48,155",1.36,"350,184","14.22","-40.27"
"1018","323280","태성","3,255","55","-1.66%","100","821","25,237",2.13,"384,557","651","-1.71"
"1019","065950","웰크론","2,905","10","-0.34%","500","820","28,231",1.89,"122,970","-59.29","0.84"
"1020","041910","에스텍파마","6,890","0","0.00%","500","820","11,898",2.01,"27,355","-44.17","-5.36"
"1021","137080","나래나노텍","7,400","130","-1.73%","500","818","11,059",1.42,"12,079","-60.66","2.96"
"1022","222420","쎄노텍","1,800","3","-0.17%","100","818","45,460",1.31,"56,074","-20.45","-0.21"
"1023","032540","TJ미디어","5,860","30","-0.51%","500","816","13,932",1.55,"10,212","14.76","5.41"
"1024","168330","내츄럴엔도텍","2,570","20","+0.78%","500","816","31,755",0.92,"18,447","-12.24","-25.50"
"1025","170920","엘티씨","9,230","210","-2.22%","500","814","8,824",2.24,"60,180","-7.81","2.64"
"1026","098120","마이크로컨텍솔","9,790","620","-5.96%","500","814","8,313",19.53,"124,966","11.33","15.55"
"1027","171010","램테크놀러지","5,740","40","-0.69%","500","813","14,166",1.76,"28,401","45.56","12.78"
"1028","200350","래몽래인","12,540","280","-2.18%","500","812","6,473",1.52,"19,602","-16.29","-14.68"
"1029","101330","모베이스","3,505","90","-2.50%","500","811","23,147",1.29,"88,412","4.71","6.47"
"1030","017480","삼현철강","5,160","120","-2.27%","500","810","15,703",1.2,"23,173","5.73","8.76"
"1031","083500","에프엔에스테크","9,520","230","-2.36%","500","808","8,491",4.59,"99,449","238","8.01"
"1032","263770","유에스티","3,410","25","+0.74%","100","808","23,700",0.63,"27,417","7.29","19.86"
