"","종목코드","종목명","시장구분","업종명","종가","대비","등락률","시가총액"
"81","001390","KG케미칼","KOSPI","화학",7950,-70,-0.87,544328868000
"82","033180","KH 필룩스","KOSPI","전기전자",442,0,0,84294994836
"83","015590","KIB플러그에너지","KOSPI","기계",888,18,2.07,210395211072
"84","001940","KISCO홀딩스","KOSPI","철강금속",19000,440,2.37,307351220000
"85","025000","KPX케미칼","KOSPI","화학",44000,0,0,2.1296e+11
"86","092230","KPX홀딩스","KOSPI","화학",49950,400,0.81,211021067700
"87","000040","KR모터스","KOSPI","운수장비",715,-50,-6.54,68739002475
"88","044450","KSS해운","KOSPI","운수창고업",8550,260,3.14,197384274000
"89","030200","KT","KOSPI","통신업",32900,650,2.02,8483619004000
"90","033780","KT&G","KOSPI","기타제조업",90200,600,0.67,12383783229400
"91","058850","KTcs","KOSPI","서비스업",4420,0,0,188667700000
"92","058860","KTis","KOSPI","서비스업",3495,-65,-1.83,121632990000
"93","093050","LF","KOSPI","섬유의복",14590,-10,-0.07,426611600000
"94","003550","LG","KOSPI","기타금융",85300,700,0.83,13417774702900
"95","034220","LG디스플레이","KOSPI","전기전자",13560,-30,-0.22,4851980892000
"96","051900","LG생활건강","KOSPI","화학",457500,-11500,-2.45,7145325127500
"97","051905","LG생활건강우","KOSPI","화학",179500,-4500,-2.45,376895611500
"98","373220","LG에너지솔루션","KOSPI","전기전자",499500,3000,0.6,1.16883e+14
"99","003555","LG우","KOSPI","기타금융",62000,100,0.16,187340440000
"100","032640","LG유플러스","KOSPI","통신업",10430,40,0.38,4553856495230
"101","011070","LG이노텍","KOSPI","전기전자",246500,-4000,-1.6,5833941875500
"102","066570","LG전자","KOSPI","전기전자",103400,-900,-0.86,16921183967600
"103","066575","LG전자우","KOSPI","전기전자",46700,-300,-0.64,802585826400
"104","037560","LG헬로비전","KOSPI","서비스업",3985,15,0.38,308625757025
"105","051910","LG화학","KOSPI","화학",551000,-1000,-0.18,38896380993000
"106","051915","LG화학우","KOSPI","화학",322000,11000,3.54,2475793600000
"107","079550","LIG넥스원","KOSPI","기계",86000,700,0.82,1.892e+12
"108","006260","LS","KOSPI","기타금융",102900,900,0.88,3.31338e+12
"109","010120","LS ELECTRIC","KOSPI","전기전자",101200,-300,-0.3,3.036e+12
"110","000680","LS네트웍스","KOSPI","유통업",3930,80,2.08,309695852880
"111","229640","LS전선아시아","KOSPI","기타금융",8440,90,1.08,258473978760
"112","108320","LX세미콘","KOSPI","전기전자",84300,0,0,1371080490000
"113","001120","LX인터내셔널","KOSPI","유통업",30400,200,0.66,1.178304e+12
"114","108670","LX하우시스","KOSPI","화학",46500,-650,-1.38,416996655000
"115","108675","LX하우시스우","KOSPI","화학",20150,100,0.5,20801449500
"116","383800","LX홀딩스","KOSPI","기타금융",7690,-30,-0.39,586598506100
"117","38380K","LX홀딩스1우","KOSPI","기타금융",9350,-140,-1.48,13700414750
"118","023150","MH에탄올","KOSPI","음식료품",6720,-30,-0.44,49583694720
"119","035420","NAVER","KOSPI","서비스업",217500,-2000,-0.91,35680675987500
"120","181710","NHN","KOSPI","서비스업",23650,-350,-1.46,826252529300
"121","400760","NH올원리츠","KOSPI","서비스업",3295,10,0.3,1.39049e+11
"122","005940","NH투자증권","KOSPI","증권",10810,210,1.98,3585308606010
"123","005945","NH투자증권우","KOSPI","증권",9970,70,0.71,188143550960
"124","338100","NH프라임리츠","KOSPI","서비스업",4070,0,0,75946200000
"125","034310","NICE","KOSPI","서비스업",13290,-10,-0.08,503455767000
"126","030190","NICE평가정보","KOSPI","서비스업",10350,170,1.67,628398387000
"127","008260","NI스틸","KOSPI","철강금속",6580,110,1.7,188188769860
"128","004250","NPC","KOSPI","화학",5600,-10,-0.18,2.05632e+11
"129","004255","NPC우","KOSPI","화학",2910,-35,-1.19,15364800000
"130","456040","OCI","KOSPI","화학",130400,5400,4.32,969749461600
"131","010060","OCI홀딩스","KOSPI","화학",95300,5200,5.77,1564124782600
"132","178920","PI첨단소재","KOSPI","화학",27700,-300,-1.07,813447119400
"133","005490","POSCO홀딩스","KOSPI","철강금속",594000,1000,0.17,50235310620000
